"###","Label","Text_JP","Text_EN","Text_KO",Text_CN
"Title_Text","Title_Text","呪いのマーケットプレイス","The Cursed Marketplace","저주의 마켓 플레이스",诅咒虚幻商城
"Start_Text","Start_Text","開始","Start","시작하기",你开始
"Title_SubText01","Title_SubText01","・このゲームは音が出ます。","・This game will make a sound.","・이 게임은 소리가 나옵니다.",・这场比赛会发出声音。
"Title_SubText02","Title_SubText02","・[Esc]を押すといつでも終了します。","・Press [Esc] to exit at any time.","・[Esc] 키를 누르면 언제든지 종료합니다.",·按[Esc]可随时退出。
"Title_SubText03","Title_SubText03","・[R]を押すといつでもやり直せます。","・Press [R] to start over at any time,","·[R]키을 누르면 언제든지 적용될 수 있습니다.",·按[R]重新开始。
"Title_SubText04","Title_SubText04","・[T]を押すといつでもタイトルに戻ります。","・Press [T] to return to the title at any time.","·[T]키를 누르면 언제든지 제목으로 돌아갑니다.",·按[T]可随时返回标题。
"FullScreen_Text1","FullScreen_Text1","FullScreenをクリックしてください","Click on FullScreen","FullScreen를 클릭하십시오",单击"FullScreen"
"FullScreen_Text2","FullScreen_Text2","画面をクリックしてください","Click on the screen","화면을 클릭하십시오",点击屏幕
"Opening_Text01","Opening_Text01","俺はとある噂を耳にした。","I heard the rumor that…","나는 어떤 소문을 들었다.",我听到了一些谣言。
"Opening_Text02","Opening_Text02","あるURLを打ち込むと、誰も知らないショッピングサイトにアクセスできる。","If you type in a URL, you will be able to access a shopping site that nobody knows.","URL을 입력하면, 아무도 모르는 쇼핑 사이트에 액세스 할 수있다.",输入URL以访问没有人知道的购物网站。
"Opening_Text03","Opening_Text03","そのサイトはゲームデータの販売サイトのようだが、噂によると10回クリックすると必ず死ぬらしい。","The site looks like a sales site for game data, but rumors say it will die after clicking 10 times.","그 사이트는 게임 데이터의 판매 사이트 같지만, 소문에 의하면 10 번 클릭하면 죽을 것 같다.",该网站似乎是一个游戏数据销售网站，但根据传闻，它似乎在10次点击后死亡。
"Opening_Text04","Opening_Text04","そんなふざけた噂の真相を確かめるために、俺はそのショッピングサイトにアクセスした。","I went to the shopping site to find out the truth about such a ridiculous rumor.","그런 장난 소문의 진상을 확인하기 위하여, 나는 그 쇼핑 사이트를 방문했다.",我去购物网站确认这种荒谬的谣言的真相。
"Header_News_Text","Header_News_Text","ニュース","NEWS","블로그",新闻
"Header_About_Text","Header_About_Text","ABOUT","ABOUT","관련정보",关于
"Header_About_Menu_Overview_Text","Header_About_Menu_Overview_Text","概要","OVERVIEW","개요",概述
"Header_About_Menu_Features_Text","Header_About_Menu_Features_Text","基本機能紹介","FEATURES","기능",功能
"Header_About_Menu_WhatsNew_Text","Header_About_Menu_WhatsNew_Text","アップデート","WHAT'S NEW","새 소식",最新版本
"Header_About_Menu_FAQ_Text","Header_About_Menu_FAQ_Text","よくある質問","FAQ","자주 묻는 질문",常见问题
"Header_About_Menu_EULA_Text","Header_About_Menu_EULA_Text","EULA","EULA","EULA",最终用户许可协议
"Header_About_Menu_PreviousVersions_Text","Header_About_Menu_PreviousVersions_Text","旧バージョン","PREVIOUS VERSIONS","예전 버전",历史版本
"Header_Learn_Text","Header_Learn_Text","ラーニング","LEARN","학습자료",学习
"Header_Learn_Menu_Documentation_Text","Header_Learn_Menu_Documentation_Text","ドキュメント","DOCUMENTATION","문서",文档
"Header_Learn_Menu_OnlineLearning_Text","Header_Learn_Menu_OnlineLearning_Text","オンラインラーニング","ONLINE LEARNING","온라인 러닝",在线学习
"Header_Learn_Menu_Education_Text","Header_Learn_Menu_Education_Text","エデュケーション","EDUCATION","교육 프로그램",教育
"Header_Learn_Menu_Support_Text","Header_Learn_Menu_Support_Text","サポート","SUPPORT","지원",支持
"Header_Learn_Menu_Roadmap_Text","Header_Learn_Menu_Roadmap_Text","ロードマップ","ROADMAP","로드맵",路线图
"Header_Learn_Menu_Issues_Text","Header_Learn_Menu_Issues_Text","バグチケット","ISSUES","문제 해결하기",已知问题
"Header_Community_Text","Header_Community_Text","コミュニティ","COMMUNITY","커뮤니티",社区
"Header_Comunity_Menu_Forums_Text","Header_Comunity_Menu_Forums_Text","フォーラム","FORUMS","포럼",论坛
"Header_Comunity_Menu_Wiki_Text","Header_Comunity_Menu_Wiki_Text","ウィキ","WIKI","위키",WIKI
"Header_Comunity_Menu_Answerhub_Text","Header_Comunity_Menu_Answerhub_Text","アンサーハブ","ANSWERHUB","앤써허브",问答中心
